Date,Open,High,Low,Close,Adj Close,Volume
10/27/1992,39.66,39.66,39.66,39.66,24.056232,0
10/28/1992,39.82,39.82,39.82,39.82,24.153288,0
10/29/1992,39.889999,39.889999,39.889999,39.889999,24.195757,0
10/30/1992,39.68,39.68,39.68,39.68,24.068377,0
11/2/1992,40.07,40.07,40.07,40.07,24.304932,0
11/3/1992,39.82,39.82,39.82,39.82,24.153288,0
11/4/1992,39.560001,39.560001,39.560001,39.560001,23.995594,0
11/5/1992,39.709999,39.709999,39.709999,39.709999,24.086575,0
11/6/1992,39.66,39.66,39.66,39.66,24.056232,0
11/9/1992,39.75,39.75,39.75,39.75,24.110832,0
11/10/1992,39.759998,39.759998,39.759998,39.759998,24.116892,0
11/11/1992,40.099998,40.099998,40.099998,40.099998,24.323128,0
11/12/1992,40.16,40.16,40.16,40.16,24.359516,0
11/13/1992,40.119999,40.119999,40.119999,40.119999,24.335257,0
11/16/1992,39.970001,39.970001,39.970001,39.970001,24.244268,0
11/17/1992,39.84,39.84,39.84,39.84,24.165419,0
11/18/1992,40.18,40.18,40.18,40.18,24.371653,0
11/19/1992,40.259998,40.259998,40.259998,40.259998,24.420177,0
11/20/1992,40.549999,40.549999,40.549999,40.549999,24.596096,0
11/23/1992,40.41,40.41,40.41,40.41,24.511154,0
11/24/1992,40.66,40.66,40.66,40.66,24.662811,0
11/25/1992,40.810001,40.810001,40.810001,40.810001,24.753786,0
11/27/1992,40.91,40.91,40.91,40.91,24.814438,0
11/30/1992,41.029999,41.029999,41.029999,41.029999,24.887228,0
12/1/1992,40.98,40.98,40.98,40.98,24.856903,0
12/2/1992,40.91,40.91,40.91,40.91,24.814438,0
12/3/1992,40.91,40.91,40.91,40.91,24.814438,0
12/4/1992,41.110001,41.110001,41.110001,41.110001,24.935743,0
12/7/1992,41.43,41.43,41.43,41.43,25.129854,0
12/8/1992,41.59,41.59,41.59,41.59,25.226885,0
12/9/1992,41.48,41.48,41.48,41.48,25.160173,0
12/10/1992,41.380001,41.380001,41.380001,41.380001,25.099533,0
12/11/1992,41.299999,41.299999,41.299999,41.299999,25.051004,0
12/14/1992,41.220001,41.220001,41.220001,41.220001,25.00247,0
12/15/1992,41.189999,41.189999,41.189999,41.189999,24.984272,0
12/16/1992,41.09,41.09,41.09,41.09,24.923622,0
12/17/1992,41.470001,41.470001,41.470001,41.470001,25.154125,0
12/18/1992,42.029999,42.029999,42.029999,42.029999,25.493797,0
12/21/1992,41.970001,41.970001,41.970001,41.970001,25.457384,0
12/22/1992,41.93,41.93,41.93,41.93,25.43313,0
12/23/1992,41.810001,41.810001,41.810001,41.810001,25.360355,0
12/24/1992,41.900002,41.900002,41.900002,41.900002,25.414938,0
12/28/1992,41.849998,41.849998,41.849998,41.849998,25.384604,0
12/29/1992,41.18,41.18,41.18,41.18,25.316988,0
12/30/1992,41.259998,41.259998,41.259998,41.259998,25.366163,0
12/31/1992,41.259998,41.259998,41.259998,41.259998,25.366163,0
1/4/1993,40.950001,40.950001,40.950001,40.950001,25.175575,0
1/5/1993,40.860001,40.860001,40.860001,40.860001,25.120255,0
1/6/1993,40.880001,40.880001,40.880001,40.880001,25.132538,0
